ID,VILLE,LIVRES,VACANCES,LIEUVIE,NBCOHAB,CHAMBRE,TRI,EMBALLAGE,RUE,PREOCCUP,SENTIMENTS,CANAL,PRATIQUES,INVESTI,PREF,TEL,SECMAIN,ACHAT,pays_recode,VOYAGE,MOYENALLER,MOYENLIEU,TRANSPORTS1,TRANSPORTS2,TRANSPORTS3,TRANSPORTS4,TRANSPORTS5,RAISON,ALTERNATIVE,ETAB,CLASSE,GENRE,POIDSCAL
5196,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,1,3,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Aucun,Plus de trois,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,,,,,Aucune de ces réponses ne te correspond,Vélo partagé (par exemple : Vélib),Hélène Boucher,1ère,Fille,2.69565217391305
8751,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,4,4,Autre,4,"Oui, tu es investi(e)",L'installation d'un poulailler,Tu n'as pas de téléphone,Aucun,Plus de trois,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Marche à pied,À pied,,,,,C'est plus rapide,Vélo personnel,Miriam Makeba,5ème,Garçon,1.4375
4801,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,3,3,2,Des journaux (papier),2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as donné à une recyclerie,NSPRF,Aucun,Europe,Vacances avec ta famille,Avion,Marche à pied,À pied,Métro / RER,,,,Parce que ça te plaît,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,Terminale,Garçon,5.02857142857143
1749,Non,entre 10 et 50 livres,2 fois,avec l'un de tes deux parents seulement,trois,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,3,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu n'as pas de téléphone,Aucun,Deux,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Trottinette,,,,Tu n'as pas le choix parce que c'est la seule solution,Transport adapté aux personnes à mobilité réduite,Miriam Makeba,4ème,Garçon,1.24489795918368
6755,Oui,plus de 50 livres,3 fois ou plus,NSPRF,zero,Non,"on trie tout, y compris le compost",tu le jettes par terre si personne ne regarde,4,3,NSPRF,La télévision,NSPRF,"Non, tu n'es pas investi(e)",L'installation d'un poulailler,Tu l'as toujours chez toi,Plus de deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Train (RER/TER/TGV...),"Bus (dont microbus, Traverse, etc.)",,,,,C'est plus rapide,Trottinette,Miriam Makeba,5ème,Fille,1.25714285714286
3740,Oui,plus de 50 livres,3 fois ou plus,autre,+4,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,1,3,Les cours,3,"Oui, tu es investi(e)",Le tri des déchets à la cantine,Tu as toujours ton premier téléphone,Aucun,Plus de trois,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Tram,Métro / RER,À pied,"Bus (dont microbus, Traverse, etc.)",Vélo partagé (par exemple : Vélib),Tu n'as pas le choix parce que c'est la seule solution,"Voiture, scooter, moto",Hélène Boucher,2nde,Garçon,5.35000000000007
5505,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,+4,Oui,"on trie tout, y compris le compost",tu cherches la poubelle la plus proche,2,4,1,Les conversations en famille,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Une ruche d'abeilles,Tu l'as donné à un proche,Plus de deux,Aucun,France,Vacances avec ta famille,Train (RER/TER/TGV…),Marche à pied,"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,,,C'est plus rapide,,Hélène Boucher,2nde,Garçon,5.35000000000007
6970,Oui,moins de 10 livres,3 fois ou plus,avec l'un de tes deux parents seulement,un,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,1,NSPRF,Les réseaux sociaux,NSPRF,"Non, tu n'es pas investi(e)",Un potager,Tu l'as toujours chez toi,Aucun,Trois,Tu ne sais pas ou tu ne souhaites pas répondre,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",,,,Tu n'as pas le choix parce que c'est la seule solution,Autre,Miriam Makeba,3ème,Fille,1.13513513513521
3271,Oui,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,3,2,3,La télévision,3,NSPRF,La réservation des repas à la cantine,Tu l'as toujours chez toi,Plus de deux,Plus de trois,Asie,Vacances avec ta famille,Avion,Avion,À pied,,,,,Tu n'as pas le choix parce que c'est la seule solution,Autre,Miriam Makeba,6ème,Fille,1.1818181818182
4220,Non,moins de 10 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,2,La télévision,4,"Oui, tu es investi(e)",L'installation d'un poulailler,Tu l'as donné à un proche,Aucun,Deux,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,,,,,Aucune de ces réponses ne te correspond,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,6ème,Fille,1.1818181818182
2535,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,NSPRF,La télévision,1,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as donné à un proche,Aucun,Plus de trois,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Trottinette,À pied,,,Ça ne coûte pas cher,Autre,Miriam Makeba,5ème,Fille,1.25714285714286
2225,Non,moins de 10 livres,Jamais,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,NSPRF,2,NSPRF,NSPRF,NSPRF,3,"Oui, tu es investi(e)",NSPRF,Tu as toujours ton premier téléphone,Plus de deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Autocar/bus,À pied,"Bus (dont microbus, Traverse, etc.)",Métro / RER,,,Parce que ça te plaît,Trottinette,Miriam Makeba,5ème,Fille,1.25714285714286
3864,Oui,entre 10 et 50 livres,2 fois,autre,un,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,2,1,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Aucun,Un,Asie,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Métro / RER,"Bus (dont microbus, Traverse, etc.)",À pied,Tram,,C'est plus rapide,Vélo personnel,Hélène Boucher,Terminale,Fille,2.58426966292135
6329,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,trois,Oui,"on trie tout, y compris le compost",tu cherches la poubelle la plus proche,3,4,1,Des journaux (papier),2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Des aménagements d'espaces verts,Tu l'as vendu,Un seul,Aucun,Europe,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",Métro / RER,,,Parce que ça te plaît,Vélo partagé (par exemple : Vélib),Hélène Boucher,Terminale,Garçon,5.02857142857143
9031,Non,plus de 50 livres,1 fois,avec l'un de tes deux parents seulement,deux,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,2,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",L'installation d'un poulailler,Tu l'avais perdu ou on te l'avait volé,Deux,Aucun,Dom-Tom,"Évènements familiaux (mariage, anniversaire, décès, etc.)",Avion,Avion,Tram,À pied,Métro / RER,Train,"Bus (dont microbus, Traverse, etc.)",C'est plus rapide,"Voiture, scooter, moto",Hélène Boucher,2nde,Fille,3.22222222222222
5104,Oui,entre 10 et 50 livres,Jamais,en partie chez l'un et chez l'autre,+4,Ça dépend,on trie le verre et d'autres déchets recyclables,tu le jettes tout de suite par terre,2,NSPRF,4,La télévision,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Un seul,Aucun,Tu ne sais pas ou tu ne souhaites pas répondre,Vacances avec ta famille,Train (RER/TER/TGV…),Avion,Métro / RER,"Bus (dont microbus, Traverse, etc.)","Voiture, scooter, moto",Train,Vélo partagé (par exemple : Vélib),C'est plus rapide,Tram,Miriam Makeba,3ème,Garçon,1.22727272727274
9989,Non,NSPRF,NSPRF,avec tes deux parents dans le même logement,nan,NSPRF,NSPRF,tu le gardes pour le jeter à ton retour chez toi,2,2,2,La télévision,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",NSPRF,Tu l'as donné à un proche,Aucun,Plus de trois,Europe,Séjour linguistique,Avion,Autocar/bus,"Bus (dont microbus, Traverse, etc.)",À pied,Vélo personnel,"Voiture, scooter, moto",,C'est plus rapide,Trottinette,Miriam Makeba,5ème,Fille,1.25714285714286
2820,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,1,4,Des journaux (papier),4,NSPRF,Des cendriers à l'entrée,Tu l'as vendu,Un seul,Trois,Afrique,Séjour linguistique,Bateau,Avion,"Voiture, scooter, moto",Vélo partagé (par exemple : Vélib),Métro / RER,Train,"Bus (dont microbus, Traverse, etc.)",Parce que ça te plaît,A pied,Miriam Makeba,4ème,Fille,1.02222222222337
9505,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,trois,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,NSPRF,2,2,Autre,NSPRF,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Aucun,Aucun,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),Métro / RER,À pied,,,,Parce que ça te plaît,Trottinette,Henri Bergson,Terminale,Garçon,7.24000003686302
7752,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,"on trie tout, y compris le compost",tu le gardes pour le jeter à ton retour chez toi,3,3,NSPRF,Les cours,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Une ruche d'abeilles,Tu l'as toujours chez toi,Plus de deux,Un,Europe,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Vélo partagé (par exemple : Vélib),Métro / RER,À pied,,C'est plus rapide,Vélo personnel,Hélène Boucher,2nde,Fille,3.22222222222222
3365,Non,moins de 10 livres,2 fois,avec tes deux parents dans le même logement,deux,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,4,NSPRF,3,La télévision,3,"Oui, tu es investi(e)",Le tri des déchets à la cantine,Tu l'as donné à un proche,Aucun,Plus de trois,Amérique,"Évènements familiaux (mariage, anniversaire, décès, etc.)",Avion,Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",,,,Tu n'as pas le choix parce que c'est la seule solution,Métro / RER,Miriam Makeba,5ème,Garçon,1.4375
9780,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,3,2,Les conversations entre ami(e)s,2,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as donné à un proche,Plus de deux,Aucun,Europe,Vacances avec des ami(e)s,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),Vélo partagé (par exemple : Vélib),À pied,Métro / RER,,,Parce que ça te plaît,Vélo personnel,Miriam Makeba,6ème,Garçon,1.14000000000006
9808,Non,NSPRF,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,2,NSPRF,NSPRF,Les réseaux sociaux,NSPRF,NSPRF,NSPRF,Tu as toujours ton premier téléphone,Deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Train (RER/TER/TGV...),Vélo personnel,À pied,Trottinette,,,Tu n'as pas le choix parce que c'est la seule solution,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,3ème,Fille,1.13513513513521
6902,Non,entre 10 et 50 livres,1 fois,autre,trois,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,NSPRF,NSPRF,4,La télévision,4,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",NSPRF,Tu as toujours ton premier téléphone,NSPRF,Plus de trois,Europe,Vacances avec ta famille,,Voiture (personnelle / location / taxi),Trottinette,À pied,,,,Parce que ça te plaît,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,6ème,Fille,1.1818181818182
3308,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Ça dépend,on trie seulement le verre,tu cherches la poubelle la plus proche,2,3,NSPRF,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'avais perdu ou on te l'avait volé,Aucun,Un,Europe,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),Tram,Métro / RER,Trottinette,À pied,,C'est plus rapide,Vélo personnel,Hélène Boucher,Terminale,Fille,2.58426966292135
2317,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Oui,on trie seulement le verre,tu cherches la poubelle la plus proche,3,3,1,Des journaux (papier),2,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as vendu,Aucun,Plus de trois,Amérique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Métro / RER,,,,,C'est plus rapide,Vélo partagé (par exemple : Vélib),Hélène Boucher,Terminale,Fille,2.58426966292135
6523,Non,plus de 50 livres,2 fois,avec l'un de tes deux parents seulement,un,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,4,1,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",L'installation d'un poulailler,Tu l'as toujours chez toi,Plus de deux,Plus de trois,France,Vacances avec ta famille,Train (RER/TER/TGV…),Autocar/bus,Tram,"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,Vélo partagé (par exemple : Vélib),Tu n'as pas le choix parce que c'est la seule solution,Trottinette,Hélène Boucher,2nde,Fille,3.22222222222222
5278,Oui,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,deux,Ça dépend,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,2,NSPRF,Les réseaux sociaux,1,"Non, tu n'es pas investi(e)",Un potager,Tu l'as toujours chez toi,Deux,Plus de trois,Asie,Vacances avec des ami(e)s,Avion,"Deux-roues motorisés (moto, scooter)",Vélo partagé (par exemple : Vélib),"Bus (dont microbus, Traverse, etc.)",À pied,Métro / RER,,C'est plus rapide,"Voiture, scooter, moto",Hélène Boucher,Terminale,Garçon,5.02857142857143
4124,NSPRF,pas de livres,Jamais,avec tes deux parents dans le même logement,trois,Oui,on trie seulement le verre,tu cherches la poubelle la plus proche,1,4,3,Les réseaux sociaux,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Aucun,Un,Asie,Vacances avec ta famille,Avion,Avion,Train,Métro / RER,Tram,À pied,,C'est plus rapide,Vélo personnel,Henri Bergson,Terminale,Garçon,7.24000003686302
9390,Non,pas de livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,3,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Un potager,Tu l'as donné à un proche,Aucun,Plus de trois,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Avion,À pied,"Bus (dont microbus, Traverse, etc.)",,,,Parce que ça te plaît,Métro / RER,Miriam Makeba,3ème,Fille,1.13513513513521
4096,Oui,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,2,1,4,La télévision,2,"Oui, tu es investi(e)",La réservation des repas à la cantine,Tu l'as vendu,Aucun,Plus de trois,Afrique,Vacances avec ta famille,Avion,Avion,À pied,"Bus (dont microbus, Traverse, etc.)",Vélo personnel,"Voiture, scooter, moto",Trottinette,Aucune de ces réponses ne te correspond,Autre,Hélène Boucher,1ère,Garçon,3.28571428571429
4333,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,NSPRF,tu cherches la poubelle la plus proche,4,3,NSPRF,La télévision,4,"Oui, tu es investi(e)",NSPRF,Tu l'as vendu,Plus de deux,Plus de trois,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)","Voiture, scooter, moto",,,,Tu n'as pas le choix parce que c'est la seule solution,Trottinette,Miriam Makeba,6ème,Fille,1.1818181818182
9930,Non,plus de 50 livres,3 fois ou plus,avec l'un de tes deux parents seulement,un,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,4,1,Les réseaux sociaux,3,"Oui, tu es investi(e)",NSPRF,Tu as toujours ton premier téléphone,Deux,Trois,Europe,"Évènements familiaux (mariage, anniversaire, décès, etc.)",Avion,Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",Vélo partagé (par exemple : Vélib),Métro / RER,Trottinette,C'est plus rapide,Vélo personnel,Hélène Boucher,1ère,Fille,2.69565217391305
2718,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,"on trie tout, y compris le compost",tu le gardes pour le jeter à ton retour chez toi,3,4,3,La télévision,2,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as toujours chez toi,Un seul,Trois,Europe,Vacances avec ta famille,Bateau,Marche à pied,Vélo partagé (par exemple : Vélib),"Bus (dont microbus, Traverse, etc.)",Trottinette,Train,"Voiture, scooter, moto",C'est plus rapide,A pied,Hélène Boucher,2nde,Garçon,5.35000000000007
9899,Non,entre 10 et 50 livres,2 fois,avec tes deux parents dans le même logement,un,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,4,2,NSPRF,Les cours,1,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as vendu,Aucun,Plus de trois,Tu ne sais pas ou tu ne souhaites pas répondre,Colonie de vacances,Autocar/bus,Autocar/bus,À pied,Métro / RER,Vélo partagé (par exemple : Vélib),Train,"Voiture, scooter, moto",Tu n'as pas le choix parce que c'est la seule solution,Vélo personnel,Henri Bergson,Terminale,Garçon,7.24000003686302
8267,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,deux,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,2,4,2,Les cours,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Des aménagements d'espaces verts,Tu as toujours ton premier téléphone,Plus de deux,Un,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Marche à pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)",Tram,À pied,,C'est plus accessible,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,Terminale,Fille,2.58426966292135
2349,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,trois,Non,"on trie tout, y compris le compost",tu le gardes pour le jeter à ton retour chez toi,4,3,2,La télévision,3,"Non, tu n'es pas investi(e)",Des cendriers à l'entrée,Tu l'as toujours chez toi,Un seul,Trois,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)","Voiture, scooter, moto",Tram,Parce que ça te plaît,Autre,Hélène Boucher,Terminale,Fille,2.58426966292135
1249,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,3,1,Les conversations entre ami(e)s,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as toujours chez toi,Aucun,Un,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),Métro / RER,À pied,Tram,"Bus (dont microbus, Traverse, etc.)",,C'est plus rapide,Trottinette,Hélène Boucher,1ère,Garçon,3.28571428571429
6436,Non,plus de 50 livres,3 fois ou plus,avec l'un de tes deux parents seulement,deux,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,3,2,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu as toujours ton premier téléphone,Aucun,Plus de trois,Europe,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,,,Parce que ça te plaît,Vélo personnel,Hélène Boucher,Terminale,Fille,2.58426966292135
3007,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,4,3,2,La télévision,1,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",La réservation des repas à la cantine,Tu l'as donné à un proche,Plus de deux,Plus de trois,Europe,"Évènements familiaux (mariage, anniversaire, décès, etc.)",Avion,Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",À pied,Métro / RER,Tram,,C'est plus rapide,Vélo personnel,Henri Bergson,1ère,Fille,7.6153848266259
2777,Non,entre 10 et 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,2,3,La télévision,2,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu l'as vendu,Plus de deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Vélo,"Bus (dont microbus, Traverse, etc.)",Métro / RER,Vélo partagé (par exemple : Vélib),Trottinette,À pied,C'est plus rapide,,Hélène Boucher,1ère,Fille,2.69565217391305
8862,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,1,1,Les cours,3,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu l'as donné à un proche,Aucun,Aucun,France,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),À pied,Vélo partagé (par exemple : Vélib),Tram,Métro / RER,,C'est plus écologique,Vélo personnel,Hélène Boucher,Terminale,Garçon,5.02857142857143
8811,Oui,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,NSPRF,NSPRF,NSPRF,1,1,1,Autre,1,NSPRF,La généralisation de poubelles jaunes,NSPRF,NSPRF,NSPRF,Non concerné(e) : tu n'as jamais voyagé,,,,,,,,,,Métro / RER,Miriam Makeba,4ème,Fille,1.02222222222337
9561,Oui,plus de 50 livres,2 fois,avec l'un de tes deux parents seulement,un,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,1,NSPRF,La télévision,2,"Non, tu n'es pas investi(e)",NSPRF,Tu l'as toujours chez toi,Aucun,Deux,Europe,Vacances avec ta famille,Avion,Marche à pied,À pied,,,,,C'est plus rapide,Tu ne sais pas ou tu ne souhaites pas répondre,Henri Bergson,Terminale,Garçon,7.24000003686302
5935,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,4,2,2,Les cours,NSPRF,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as vendu,Aucun,Aucun,France,Vacances avec des ami(e)s,Train (RER/TER/TGV…),Marche à pied,Tram,À pied,,,,C'est plus rapide,Métro / RER,Hélène Boucher,2nde,Garçon,5.35000000000007
4431,Non,moins de 10 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,2,2,NSPRF,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",NSPRF,Tu l'as toujours chez toi,Aucun,Plus de trois,Europe,Séjour linguistique,Avion,Autocar/bus,À pied,,,,,Aucune de ces réponses ne te correspond,Tu ne sais pas ou tu ne souhaites pas répondre,Miriam Makeba,4ème,Fille,1.02222222222337
3157,Non,moins de 10 livres,1 fois,avec l'un de tes deux parents seulement,+4,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,1,1,2,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",NSPRF,Tu l'as donné à un proche,Aucun,Deux,Afrique,Vacances avec ta famille,Avion,Train (RER/TER/TGV...),Vélo personnel,"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,Tram,C'est plus rapide,Train,Miriam Makeba,3ème,Garçon,1.22727272727274
3494,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu le jettes par terre si personne ne regarde,3,4,1,La télévision,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu as toujours ton premier téléphone,Un seul,Deux,France,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),Tram,"Bus (dont microbus, Traverse, etc.)",,,,C'est plus rapide,A pied,Hélène Boucher,1ère,Fille,2.69565217391305
4627,Non,plus de 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,1,2,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as toujours chez toi,Un seul,Deux,Afrique,Vacances avec ta famille,Avion,Autocar/bus,"Bus (dont microbus, Traverse, etc.)","Voiture, scooter, moto",À pied,,,C'est plus rapide,Trottinette,Miriam Makeba,5ème,Fille,1.25714285714286
6699,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu le jettes tout de suite par terre,NSPRF,2,2,La télévision,1,"Oui, tu es investi(e)",NSPRF,Tu l'as jeté,Aucun,Aucun,Afrique,Séjour linguistique,Bateau,Bateau,"Bus (dont microbus, Traverse, etc.)",Métro / RER,Tram,Vélo partagé (par exemple : Vélib),Vélo personnel,Parce que ça te plaît,Autre,Miriam Makeba,4ème,Garçon,1.24489795918368
6379,Oui,pas de livres,2 fois,autre,un,Non,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,3,3,NSPRF,Les réseaux sociaux,3,"Oui, tu es investi(e)",Le tri des déchets à la cantine,Tu l'as donné à un proche,Aucun,Plus de trois,Europe,Vacances avec ta famille,Avion,Avion,À pied,Métro / RER,,,,Tu n'as pas le choix parce que c'est la seule solution,Autre,Miriam Makeba,3ème,Fille,1.13513513513521
