ID,VILLE,LIVRES,VACANCES,LIEUVIE,NBCOHAB,CHAMBRE,TRI,EMBALLAGE,RUE,PREOCCUP,SENTIMENTS,CANAL,PRATIQUES,INVESTI,PREF,TEL,SECMAIN,ACHAT,pays_recode,VOYAGE,MOYENALLER,MOYENLIEU,TRANSPORTS1,TRANSPORTS2,TRANSPORTS3,TRANSPORTS4,TRANSPORTS5,RAISON,ALTERNATIVE,ETAB,CLASSE,GENRE,POIDSCAL
5471,Oui,moins de 10 livres,2 fois,avec tes deux parents dans le même logement,trois,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,4,3,4,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",Des aménagements d'espaces verts,Tu l'as donné à un proche,Plus de deux,Aucun,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Avion,"Bus (dont microbus, Traverse, etc.)",Métro / RER,Tram,,,C'est plus accessible,"Voiture, scooter, moto",Henri Bergson,Terminale,Fille,4.3103448275862
6468,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,deux,Oui,"on trie tout, y compris le compost",tu cherches la poubelle la plus proche,2,3,1,Les réseaux sociaux,3,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Le tri des déchets à la cantine,Tu l'as toujours chez toi,Deux,Plus de trois,Asie,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Vélo partagé (par exemple : Vélib),"Bus (dont microbus, Traverse, etc.)","Voiture, scooter, moto",Tram,À pied,C'est plus rapide,Métro / RER,Hélène Boucher,2nde,Garçon,5.35000000000007
6445,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,3,1,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Deux,Plus de trois,Asie,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",,,,C'est plus accessible,Trottinette,Miriam Makeba,4ème,Garçon,1.24489795918368
4613,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,2,2,Les cours,3,"Non, tu n'es pas investi(e)",Le tri des déchets à la cantine,Tu l'as donné à un proche,Plus de deux,Aucun,Europe,Vacances avec des ami(e)s,Avion,Vélo,À pied,"Bus (dont microbus, Traverse, etc.)",,,,Parce que ça te plaît,Vélo personnel,Hélène Boucher,Terminale,Fille,2.58426966292135
7659,Oui,entre 10 et 50 livres,2 fois,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,4,3,Les réseaux sociaux,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",L'installation d'un poulailler,Tu l'as toujours chez toi,Aucun,Plus de trois,France,Vacances avec ta famille,Train (RER/TER/TGV…),Voiture (personnelle / location / taxi),À pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)",Vélo personnel,Trottinette,C'est plus rapide,"Voiture, scooter, moto",Miriam Makeba,6ème,Garçon,1.14000000000006
4456,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,3,3,3,Les réseaux sociaux,NSPRF,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu l'as donné à un proche,Aucun,Trois,Europe,Vacances avec ta famille,Avion,Bateau,Tram,À pied,Métro / RER,"Bus (dont microbus, Traverse, etc.)",,C'est plus rapide,Vélo partagé (par exemple : Vélib),Miriam Makeba,4ème,Fille,1.02222222222337
2905,Non,entre 10 et 50 livres,Jamais,avec tes deux parents dans le même logement,nan,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,3,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",NSPRF,Tu l'as vendu,Aucun,Plus de trois,Europe,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Métro / RER,Vélo partagé (par exemple : Vélib),"Bus (dont microbus, Traverse, etc.)",À pied,,C'est plus rapide,"Voiture, scooter, moto",Hélène Boucher,1ère,Garçon,3.28571428571429
3173,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,trois,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,4,3,2,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Des cendriers à l'entrée,Tu l'as toujours chez toi,Deux,Deux,Europe,Vacances avec des ami(e)s,Avion,Voiture (personnelle / location / taxi),Tram,Vélo partagé (par exemple : Vélib),À pied,Métro / RER,,Tu n'as pas le choix parce que c'est la seule solution,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,1ère,Garçon,3.28571428571429
1204,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,3,NSPRF,3,La télévision,NSPRF,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Aucun,Plus de trois,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Vélo personnel,Trottinette,"Voiture, scooter, moto","Bus (dont microbus, Traverse, etc.)",À pied,C'est plus rapide,Tu ne sais pas ou tu ne souhaites pas répondre,Miriam Makeba,6ème,Garçon,1.14000000000006
5893,Non,entre 10 et 50 livres,NSPRF,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,4,NSPRF,NSPRF,Les réseaux sociaux,NSPRF,NSPRF,Le tri des déchets à la cantine,Tu l'as toujours chez toi,Aucun,Aucun,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),À pied,,,,,C'est plus rapide,Trottinette,Miriam Makeba,4ème,Fille,1.02222222222337
